"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL030W",86.967908853959,-0.0772649869627433,0.149421229489172,-0.517095109087843,0.605089767652411,0.736641153687376
"YAL031C",83.9049490406624,-0.703231484255182,0.164758570192705,-4.26825435200529,1.9700861725907e-05,0.000113743240028479
"YAL031W-A",9.2807440982326,-1.32493564634272,0.508736789209356,-2.60436373866699,0.00920450131780445,0.0285109541063987
"YAL032C",81.432001804263,-0.187106059647302,0.165302003034009,-1.13190437026227,0.257674641154273,0.40617632162035
"YAL033W",32.8173979569764,-0.228342875026754,0.250057443386875,-0.913161679708428,0.36115751464638,0.514474494726096
"YAL034C",75.5391527487488,0.0734176772076879,0.171253961897451,0.428706445061115,0.668136869721525,0.783230352378914
"YAL034C-B",2.49541781949167,-1.86129424413834,1.06236023046974,-1.75203682400209,0.0797674761842855,0.167761139200616
"YAL034W-A",19.1447714286013,-0.341457406080628,0.324404941591057,-1.0525653660081,0.292540237480262,0.444386449332828
"YAL035W",519.137214547457,0.657705041165181,0.0629351174549616,10.4505253626619,1.45715786022558e-25,2.30881002314439e-24
"YAL036C",55.3583991868928,0.647939101465262,0.191504688797385,3.38341116102276,0.000715913649940596,0.00302136588446225
"YAL037C-A",0.308927408804855,-1.05079740265371,2.41553606884341,-0.435016233542248,0.663550644268213,NA
"YAL037C-B",113.570756684425,-0.371773425824717,0.132682927124675,-2.80196882810237,0.00507917810732885,0.017071006908311
"YAL037W",6.70868279012208,-1.57574671175515,0.625100021176531,-2.52079132678537,0.0117091267270612,0.035049762863864
"YAL038W",12960.909272805,1.80972594092706,0.0143867836929429,125.790863305658,0,0
"YAL039C",289.129458333449,0.164260957804589,0.0814399733514381,2.01695741102165,0.0436999579703481,0.103433595765084
"YAL040C",84.6510350853788,-0.153981308796362,0.154079177392394,-0.999364816208859,0.317617997252331,0.470694087817449
"YAL041W",87.8078452635004,-0.0634342025931796,0.155729285305197,-0.40733637522873,0.683760949998205,0.795180709521223
"YAL042C-A",87.4683680365435,1.04391945966487,0.158695671868864,6.57812180616684,4.76427877975992e-11,4.6625031649601e-10
"YAL042W",658.23536968309,0.253115685671867,0.0577605460636531,4.38215534515428,1.17510970441149e-05,7.04842841678317e-05
"YAL043C",122.481716097553,0.121000117947424,0.126194903135193,0.95883522187735,0.337641762321199,0.490487295280647
"YAL044C",199.968051814922,1.95005370792202,0.109139801489159,17.8674844677607,2.11310595984135e-71,6.92179061042332e-70
"YAL044W-A",29.154934212019,-0.550090964978441,0.282117438161179,-1.94986516453536,0.0511921921159415,0.117643416414752
"YAL045C",14.9263858100064,-0.0374256232217424,0.388127741481568,-0.0964260454016522,0.923182207262625,0.955400130859572
"YAL046C",39.5740465673448,0.514059417442252,0.245329331398033,2.09538506672983,0.0361367759306537,0.0884462630404928
"YAL047C",26.5331669034953,-0.22394105914095,0.271308754478175,-0.825410368978582,0.409138650079557,0.561337629741237
"YAL047W-A",1.0288301955355,-1.76281911182393,1.51233224612993,-1.16562952111549,0.243764266750109,0.389751566614616
"YAL048C",25.3243301925559,0.830538668236658,0.279901703328129,2.96725121126904,0.00300475346368415,0.0109487327938969
"YAL049C",98.2976784316764,-0.0749092051591673,0.147378357830965,-0.508278191327684,0.611258262169368,0.741153573731251
"YAL051W",67.0886217996055,-0.376364678967727,0.175596001954512,-2.14335562756846,0.0320845532171787,0.0799836535642758
"YAL053W",586.251712456036,-0.192716506976736,0.0612064313634218,-3.1486316500378,0.00164036817430203,0.00639753707460667
"YAL054C",56.0879754282216,-0.891700497815217,0.208268272833157,-4.28149946069585,1.85638173526131e-05,0.000107472942585367
"YAL055W",58.04473942318,-0.427721171130504,0.198317595694623,-2.15674847021202,0.0310252681149746,0.0779887654166479
"YAL056C-A",7.45836195201511,0.362206771399278,0.539602444482639,0.67124746209509,0.502062897631453,0.644213849974841
"YAL056W",163.443292518483,-0.351090187558296,0.11392095933025,-3.08187527231495,0.00205701009155456,0.00786716140278762
"YAL058W",41.9908739441811,0.469508412003196,0.212498977127878,2.2094619858836,0.027142523688214,0.0696974146047478
"YAL059C-A",0,NA,NA,NA,NA,NA
"YAL059W",17.5366088616283,-0.0425365380832414,0.339638943621937,-0.125240461619708,0.900333185659897,0.941433410476657
"YAL060W",251.622324689131,0.844742885664332,0.0889066825014145,9.50145548002977,2.06976844488744e-21,2.95374178523215e-20
"YAL061W",259.445019378581,2.75472752227712,0.101944506690584,27.021833855532,8.1878069657525e-161,5.50673570611567e-159
"YAL062W",82.3838729784572,0.136802857733728,0.158110451720426,0.865236018524733,0.386909259843426,0.540083978964482
"YAL063C",62.6984052799767,0.089963486294035,0.180580359465729,0.498190869484388,0.618349517329329,0.746364632558273
"YAL063C-A",1.00786168649349,-2.75508688100885,1.43862504181885,-1.91508336148911,0.0554818733706112,0.125774994429031
"YAL064C-A",4.80200240812677,0.306542775694753,0.655212986456249,0.467852106156662,0.639890355377479,0.763712823616466
"YAL064W",1.06964442952492,-2.84652716113867,1.43506523942739,-1.98355244272691,0.0473057553098997,0.110104926985749
"YAL064W-B",1.21998658498445,-0.273896701711139,1.32168266081545,-0.207233332048217,0.835827637081279,0.900726652466527
"YAL065C",1.9153851945692,1.23388095890953,1.1257872064445,1.09601614927426,0.273071707256159,0.423023605310816
"YAL066W",0.0750525941919842,0.671872760207077,3.5338115409304,0.190126935866587,0.849209663269176,NA
"YAL067C",5.87686994962669,-2.00261484274206,0.732287760159291,-2.73473756041811,0.00624300285762884,0.0203759752534484
"YAL067W-A",0.630748396079635,0.639944578436032,1.9194833786028,0.333394175521255,0.738836759186699,0.834541002604665
"YAL068C",0.0826009269940286,0.671872760207077,3.5338115409304,0.190126935866587,0.849209663269176,NA
"YAL068W-A",0,NA,NA,NA,NA,NA
"YAL069W",0.829481913831373,-1.38465924265615,1.54108861115444,-0.898494241430345,0.368922113894051,0.521656364132899
"YAR002C-A",192.672870774879,-0.324227364453541,0.106586317249108,-3.04192294866303,0.00235072059161158,0.00886146588508806
